SITEID,DEM_1km_m,hosston_alt,hosston_thickness,cottonvalley_alt,cottonvalley_thickness,buckner_facies,buckner_thick,h2s_class,smackover_alt,smackover_facies,smackover_middepth,smackover_thick,smck_temp_int
45355,94.0,-1401.0,396.0,-1820.0,701.0,1,28.0,200,-2614.0,4,2737.0,57.0,84.0
45874,90.0,-1389.0,396.0,-1803.0,701.0,1,28.0,200,-2580.0,4,2699.0,58.0,81.0
45891,88.0,-1132.0,396.0,-1553.0,701.0,1,31.0,200,-2294.0,4,2406.0,48.0,75.0
46088,92.0,-1367.0,396.0,-1767.0,701.0,1,28.0,200,-2549.0,4,2672.0,61.0,78.0
BR-6,91.0,-1137.0,396.0,-1557.0,701.0,1,31.0,200,-2307.0,4,2423.0,50.0,73.0
17280,80.0,-1151.0,396.0,-1571.0,701.0,3,31.0,300,-2320.0,4,2429.0,57.0,74.0
17261,83.0,-1606.0,396.0,-1972.0,701.0,1,29.0,200,-2743.0,4,2849.0,46.0,95.0
17262,83.0,-1606.0,396.0,-1972.0,701.0,1,29.0,200,-2743.0,4,2849.0,46.0,95.0
17279,91.0,-1164.0,396.0,-1584.0,701.0,3,30.0,200,-2324.0,4,2445.0,61.0,74.0
45901,87.0,-1367.0,396.0,-1764.0,701.0,1,28.0,200,-2536.0,4,2654.0,61.0,77.0
45899,103.0,-1402.0,396.0,-1823.0,701.0,3,28.0,200,-2577.0,4,2710.0,60.0,82.0
46071,90.0,-1370.0,396.0,-1768.0,701.0,1,28.0,200,-2546.0,4,2667.0,61.0,79.0
45900,90.0,-1370.0,396.0,-1768.0,701.0,1,28.0,200,-2546.0,4,2667.0,61.0,79.0
46072,90.0,-1370.0,396.0,-1768.0,701.0,1,28.0,200,-2546.0,4,2667.0,61.0,79.0
45902,101.0,-1388.0,396.0,-1802.0,701.0,3,28.0,200,-2571.0,4,2703.0,62.0,80.0
45351,95.0,-1372.0,396.0,-1773.0,701.0,1,28.0,200,-2557.0,4,2683.0,62.0,81.0
45903,87.0,-1349.0,396.0,-1740.0,701.0,1,29.0,200,-2503.0,4,2621.0,61.0,78.0
17288,78.0,-1047.0,396.0,-1466.0,701.0,3,21.0,100,-2161.0,4,2293.0,72.0,74.0
45905,105.0,-1325.0,396.0,-1718.0,701.0,3,31.0,200,-2482.0,4,2617.0,61.0,81.0
17282,80.0,-1104.0,396.0,-1520.0,701.0,3,30.0,50,-2278.0,4,2397.0,61.0,77.0
45352,105.0,-1389.0,396.0,-1806.0,701.0,3,28.0,200,-2555.0,4,2693.0,65.0,81.0
17283,84.0,-1114.0,396.0,-1529.0,701.0,3,31.0,100,-2286.0,4,2402.0,63.0,77.0
45904,102.0,-1331.0,396.0,-1720.0,701.0,3,31.0,200,-2492.0,4,2626.0,63.0,79.0
45354,109.0,-1302.0,396.0,-1699.0,701.0,3,38.0,100,-2448.0,4,2588.0,62.0,83.0
45350,103.0,-1362.0,396.0,-1751.0,701.0,3,30.0,200,-2511.0,4,2648.0,68.0,78.0
45909,97.0,-1322.0,396.0,-1709.0,701.0,3,35.0,200,-2469.0,4,2610.0,66.0,77.0
BR-1,82.0,-1082.0,396.0,-1490.0,701.0,3,28.0,100,-2216.0,4,2333.0,71.0,78.0
45897,57.0,-896.0,274.0,-1126.0,640.0,3,31.0,50,-1803.0,4,1921.0,122.0,69.0
17289,82.0,-1023.0,396.0,-1427.0,640.0,3,20.0,50,-2124.0,4,2250.0,83.0,74.0
17290,81.0,-1044.0,396.0,-1445.0,640.0,3,21.0,50,-2135.0,4,2256.0,80.0,75.0
45910,93.0,-1331.0,396.0,-1712.0,701.0,3,37.0,200,-2467.0,4,2596.0,70.0,76.0
17284,81.0,-1079.0,396.0,-1481.0,701.0,3,28.0,50,-2196.0,4,2315.0,76.0,79.0
45349,99.0,-1346.0,396.0,-1726.0,701.0,3,38.0,200,-2465.0,4,2624.0,73.0,74.0
45353,111.0,-1360.0,396.0,-1746.0,701.0,3,38.0,200,-2481.0,4,2651.0,74.0,77.0
45908,107.0,-1289.0,396.0,-1679.0,640.0,3,45.0,100,-2403.0,4,2542.0,65.0,78.0
115201,85.0,-1637.0,396.0,-2046.0,701.0,3,53.0,467,-2819.0,4,2929.0,50.0,88.0
115202,85.0,-1637.0,396.0,-2046.0,701.0,3,53.0,467,-2819.0,4,2929.0,50.0,88.0
115199,85.0,-1637.0,396.0,-2046.0,701.0,3,53.0,467,-2819.0,4,2929.0,50.0,88.0
115200,85.0,-1637.0,396.0,-2046.0,701.0,3,53.0,467,-2819.0,4,2929.0,50.0,88.0
17332,74.0,-955.0,396.0,-1360.0,701.0,3,26.0,10,-2064.0,4,2188.0,100.0,74.0
115198,86.0,-1619.0,396.0,-2021.0,701.0,3,57.0,467,-2803.0,4,2918.0,59.0,89.0
115197,86.0,-1619.0,396.0,-2021.0,701.0,3,57.0,467,-2803.0,4,2918.0,59.0,89.0
115195,86.0,-1619.0,396.0,-2021.0,701.0,3,57.0,467,-2803.0,4,2918.0,59.0,89.0
115196,86.0,-1619.0,396.0,-2021.0,701.0,3,57.0,467,-2803.0,4,2918.0,59.0,89.0
DM-SEP-1,84.0,-1585.0,396.0,-2004.0,701.0,3,58.0,300,-2748.0,4,2863.0,61.0,90.0
DM-1,84.0,-1585.0,396.0,-2004.0,701.0,3,58.0,300,-2748.0,4,2863.0,61.0,90.0
115205,94.0,-1572.0,396.0,-2009.0,701.0,3,62.0,300,-2743.0,4,2868.0,61.0,91.0
115204,94.0,-1572.0,396.0,-2009.0,701.0,3,62.0,300,-2743.0,4,2868.0,61.0,91.0
115203,94.0,-1572.0,396.0,-2009.0,701.0,3,62.0,300,-2743.0,4,2868.0,61.0,91.0
MP-2,84.0,-1581.0,396.0,-1992.0,701.0,3,58.0,300,-2758.0,4,2873.0,61.0,90.0
BR-3,106.0,-1141.0,396.0,-1537.0,640.0,3,30.0,100,-2172.0,4,2310.0,64.0,87.0
MP-1,92.0,-1579.0,396.0,-1978.0,701.0,3,60.0,300,-2763.0,4,2885.0,61.0,89.0
115219,109.0,-1225.0,396.0,-1631.0,640.0,3,58.0,100,-2286.0,4,2425.0,61.0,83.0
115220,99.0,-1579.0,396.0,-1973.0,701.0,3,61.0,467,-2758.0,4,2888.0,61.0,89.0
45896,74.0,-892.0,335.0,-1201.0,640.0,3,31.0,50,-1896.0,4,2031.0,122.0,69.0
MS-2,97.0,-1202.0,396.0,-1611.0,640.0,3,59.0,200,-2264.0,4,2375.0,48.0,80.0
MS-1,113.0,-1220.0,396.0,-1623.0,640.0,3,60.0,100,-2286.0,4,2429.0,61.0,83.0
17278,88.0,-1134.0,396.0,-1511.0,640.0,3,35.0,50,-2141.0,4,2260.0,61.0,86.0
45895,75.0,-1090.0,396.0,-1473.0,579.0,3,34.0,100,-2144.0,4,2268.0,97.0,84.0
17259,85.0,-1587.0,396.0,-1977.0,701.0,3,61.0,467,-2743.0,4,2858.0,61.0,88.0
17258,85.0,-1587.0,396.0,-1977.0,701.0,3,61.0,467,-2743.0,4,2858.0,61.0,88.0
115233,85.0,-1177.0,396.0,-1579.0,640.0,3,60.0,50,-2240.0,4,2344.0,39.0,76.0
115230,98.0,-1176.0,396.0,-1576.0,640.0,3,60.0,50,-2240.0,4,2358.0,40.0,73.0
115231,85.0,-1178.0,396.0,-1581.0,640.0,3,59.0,50,-2242.0,4,2345.0,37.0,76.0
46089,93.0,-1129.0,396.0,-1500.0,640.0,3,40.0,50,-2134.0,4,2258.0,61.0,85.0
46090,93.0,-1129.0,396.0,-1500.0,640.0,3,40.0,50,-2134.0,4,2258.0,61.0,85.0
115234,98.0,-1174.0,396.0,-1575.0,640.0,3,60.0,50,-2240.0,4,2358.0,40.0,76.0
115232,98.0,-1171.0,396.0,-1569.0,640.0,3,60.0,50,-2229.0,4,2348.0,43.0,73.0
17267,81.0,-1353.0,396.0,-1744.0,640.0,3,61.0,300,-2420.0,4,2544.0,87.0,82.0
45911,89.0,-1168.0,396.0,-1569.0,640.0,3,60.0,50,-2231.0,4,2341.0,41.0,77.0
45912,89.0,-1167.0,396.0,-1569.0,640.0,3,60.0,50,-2231.0,4,2342.0,44.0,78.0
17277,76.0,-1114.0,396.0,-1483.0,640.0,3,44.0,50,-2120.0,4,2226.0,61.0,82.0
17276,102.0,-1156.0,396.0,-1554.0,640.0,3,61.0,50,-2218.0,4,2345.0,49.0,76.0
17270,99.0,-1193.0,396.0,-1589.0,640.0,3,89.0,100,-2286.0,4,2415.0,61.0,84.0
17263,102.0,-1384.0,396.0,-1785.0,640.0,3,61.0,300,-2436.0,4,2570.0,64.0,81.0
17331,71.0,-1090.0,396.0,-1453.0,640.0,3,50.0,10,-2094.0,4,2204.0,79.0,79.0
17266,90.0,-1312.0,396.0,-1700.0,640.0,3,64.0,50,-2381.0,4,2528.0,114.0,84.0
17264,90.0,-1325.0,335.0,-1722.0,640.0,3,66.0,50,-2387.0,4,2532.0,110.0,83.0
17265,90.0,-1325.0,335.0,-1722.0,640.0,3,66.0,50,-2387.0,4,2532.0,110.0,83.0
115221,70.0,-936.0,335.0,-1302.0,579.0,3,59.0,50,-1907.0,4,2038.0,122.0,72.0
17256,83.0,-1519.0,335.0,-1852.0,640.0,3,72.0,100,-2564.0,4,2689.0,84.0,85.0
17257,83.0,-1519.0,335.0,-1852.0,640.0,3,72.0,100,-2564.0,4,2689.0,84.0,85.0
17294,69.0,-927.0,335.0,-1296.0,579.0,3,59.0,10,-1906.0,4,2036.0,122.0,71.0
115215,114.0,-1241.0,396.0,-1609.0,640.0,3,95.0,300,-2286.0,4,2438.0,83.0,85.0
115216,114.0,-1241.0,396.0,-1609.0,640.0,3,95.0,300,-2286.0,4,2438.0,83.0,85.0
46091,88.0,-1441.0,335.0,-1803.0,640.0,3,83.0,100,-2503.0,4,2622.0,62.0,82.0
45917,88.0,-1823.0,274.0,-2101.0,518.0,3,99.0,10,-2663.0,3,2812.0,122.0,88.0
17320,107.0,-1258.0,396.0,-1640.0,640.0,3,93.0,50,-2307.0,4,2475.0,122.0,90.0
17319,107.0,-1258.0,396.0,-1640.0,640.0,3,93.0,50,-2307.0,4,2475.0,122.0,90.0
17314,98.0,-1306.0,335.0,-1692.0,640.0,3,96.0,50,-2342.0,4,2499.0,118.0,82.0
17313,96.0,-1330.0,335.0,-1686.0,640.0,3,97.0,10,-2394.0,4,2546.0,111.0,82.0
17312,103.0,-1336.0,335.0,-1687.0,640.0,3,97.0,10,-2399.0,4,2554.0,105.0,83.0
17311,94.0,-1342.0,335.0,-1693.0,640.0,3,96.0,3,-2401.0,3,2543.0,97.0,83.0
17310,110.0,-1374.0,335.0,-1756.0,579.0,3,92.0,10,-2401.0,3,2548.0,74.0,82.0
115228,79.0,-1598.0,335.0,-1902.0,518.0,3,90.0,100,-2445.0,3,2585.0,122.0,79.0
115217,89.0,-1477.0,335.0,-1774.0,518.0,3,91.0,50,-2390.0,3,2538.0,117.0,79.0
115218,89.0,-1477.0,335.0,-1774.0,518.0,3,91.0,50,-2390.0,3,2538.0,117.0,79.0
17318,105.0,-1282.0,335.0,-1633.0,579.0,3,91.0,3,-2251.0,4,2417.0,122.0,80.0
17299,88.0,-1552.0,335.0,-1877.0,457.0,3,109.0,3,-2387.0,3,2533.0,122.0,84.0
17295,55.0,-967.0,335.0,-1339.0,579.0,3,64.0,50,-1937.0,2,2053.0,122.0,64.0
17309,92.0,-1502.0,335.0,-1777.0,457.0,3,91.0,3,-2366.0,3,2519.0,122.0,77.0
45883,89.0,-1488.0,335.0,-1772.0,457.0,3,91.0,10,-2366.0,3,2516.0,122.0,77.0
45884,89.0,-1475.0,335.0,-1767.0,457.0,3,91.0,10,-2366.0,3,2516.0,122.0,77.0
115206,85.0,-1284.0,335.0,-1636.0,579.0,3,91.0,3,-2240.0,4,2386.0,122.0,81.0
BK-1,105.0,-1264.0,335.0,-1616.0,579.0,3,90.0,3,-2164.0,4,2330.0,122.0,79.0
17302,72.0,-1635.0,335.0,-1888.0,457.0,3,91.0,10,-2328.0,3,2457.0,114.0,78.0
115208,85.0,-1281.0,335.0,-1633.0,579.0,3,90.0,3,-2216.0,4,2362.0,122.0,80.0
BK-2-DUP,98.0,-1269.0,335.0,-1619.0,579.0,3,90.0,3,-2190.0,4,2349.0,122.0,79.0
BK-2,98.0,-1269.0,335.0,-1619.0,579.0,3,90.0,3,-2190.0,4,2349.0,122.0,79.0
115207,85.0,-1279.0,335.0,-1631.0,579.0,3,90.0,3,-2216.0,4,2362.0,122.0,80.0
45914,81.0,-1280.0,335.0,-1633.0,579.0,3,90.0,3,-2217.0,4,2359.0,122.0,80.0
45915,57.0,-1033.0,335.0,-1374.0,579.0,3,84.0,10,-1939.0,2,2056.0,122.0,69.0
115226,35.0,-839.0,213.0,-1040.0,518.0,3,40.0,10,-1614.0,4,1710.0,122.0,60.0
115227,35.0,-839.0,213.0,-1040.0,518.0,3,40.0,10,-1614.0,4,1710.0,122.0,60.0
115225,35.0,-839.0,213.0,-1040.0,518.0,3,40.0,10,-1614.0,4,1710.0,122.0,60.0
17317,101.0,-1259.0,335.0,-1608.0,579.0,3,89.0,3,-2159.0,4,2321.0,122.0,79.0
17316,81.0,-1269.0,335.0,-1618.0,579.0,3,89.0,3,-2186.0,4,2328.0,122.0,79.0
17315,85.0,-1275.0,335.0,-1632.0,579.0,3,89.0,3,-2193.0,4,2339.0,122.0,79.0
45885,91.0,-1561.0,274.0,-1839.0,396.0,3,91.0,50,-2348.0,3,2500.0,122.0,76.0
115209,98.0,-1261.0,335.0,-1609.0,579.0,3,89.0,3,-2169.0,4,2328.0,122.0,79.0
SM-1,35.0,-836.0,213.0,-1037.0,518.0,3,38.0,10,-1605.0,4,1701.0,122.0,60.0
115229,76.0,-1556.0,274.0,-1850.0,396.0,3,91.0,50,-2288.0,2,2424.0,106.0,76.0
45879,54.0,-826.0,213.0,-1041.0,518.0,3,36.0,10,-1592.0,4,1707.0,122.0,59.0
SM-2,42.0,-850.0,274.0,-1164.0,457.0,3,61.0,10,-1754.0,4,1857.0,122.0,62.0
SM-2-DUP,42.0,-850.0,274.0,-1164.0,457.0,3,61.0,10,-1754.0,4,1857.0,122.0,62.0
SH-1,55.0,-821.0,213.0,-1053.0,457.0,3,42.0,3,-1590.0,4,1704.0,122.0,59.0
SH-2,55.0,-821.0,213.0,-1053.0,457.0,3,42.0,3,-1590.0,4,1704.0,122.0,59.0
17303,85.0,-1474.0,335.0,-1765.0,396.0,3,90.0,3,-2200.0,2,2327.0,84.0,71.0
45877,59.0,-981.0,274.0,-1506.0,396.0,3,60.0,3,-1761.0,2,1881.0,122.0,63.0
45878,70.0,-979.0,274.0,-1516.0,396.0,3,60.0,3,-1761.0,2,1881.0,122.0,63.0
17308,86.0,-1295.0,335.0,-1591.0,457.0,3,83.0,3,-2171.0,2,2301.0,87.0,71.0
17329,70.0,-974.0,274.0,-1534.0,335.0,3,60.0,3,-1735.0,2,1865.0,122.0,63.0
17330,70.0,-974.0,274.0,-1534.0,335.0,3,60.0,3,-1735.0,2,1865.0,122.0,63.0
17296,60.0,-972.0,274.0,-1492.0,335.0,3,61.0,10,-1736.0,2,1857.0,122.0,64.0
17328,84.0,-969.0,274.0,-1384.0,396.0,3,62.0,3,-1740.0,2,1885.0,122.0,64.0
45875,84.0,-961.0,274.0,-1389.0,335.0,3,62.0,3,-1716.0,2,1861.0,122.0,64.0
45876,71.0,-946.0,274.0,-1365.0,335.0,3,61.0,3,-1692.0,2,1824.0,122.0,66.0
17327,82.0,-941.0,274.0,-1378.0,335.0,3,61.0,3,-1691.0,2,1834.0,122.0,66.0
MW-1,88.0,-1156.0,274.0,-1452.0,457.0,3,73.0,3,-2000.0,2,2128.0,81.0,71.0
45378,88.0,-1166.0,274.0,-1458.0,457.0,3,77.0,3,-1973.0,2,2096.0,71.0,67.0
45377,91.0,-1160.0,274.0,-1452.0,457.0,3,76.0,3,-1973.0,2,2100.0,72.0,68.0
45880,96.0,-934.0,274.0,-1243.0,457.0,3,63.0,50,-1696.0,2,1853.0,122.0,70.0
45881,96.0,-934.0,274.0,-1243.0,457.0,3,63.0,50,-1696.0,2,1853.0,122.0,70.0
17304,105.0,-1220.0,274.0,-1501.0,457.0,3,86.0,3,-1988.0,2,2124.0,60.0,71.0
17305,105.0,-1220.0,274.0,-1501.0,457.0,3,86.0,3,-1988.0,2,2124.0,60.0,71.0
17306,105.0,-1204.0,274.0,-1488.0,457.0,3,85.0,3,-1986.0,2,2121.0,61.0,71.0
17307,105.0,-1204.0,274.0,-1488.0,457.0,3,85.0,3,-1986.0,2,2121.0,61.0,71.0
MW-2,88.0,-1160.0,274.0,-1451.0,457.0,3,78.0,3,-1955.0,2,2077.0,67.0,72.0
115222,105.0,-1192.0,274.0,-1475.0,457.0,3,84.0,3,-1964.0,2,2094.0,61.0,71.0
45886,100.0,-1194.0,274.0,-1476.0,457.0,3,85.0,3,-1964.0,2,2095.0,61.0,71.0
17301,81.0,-1213.0,274.0,-1472.0,396.0,3,61.0,3,-1839.0,2,1938.0,36.0,74.0
45348,93.0,-1035.0,274.0,-1306.0,457.0,3,61.0,3,-1784.0,2,1923.0,91.0,69.0
45916,93.0,-1035.0,274.0,-1306.0,457.0,3,61.0,3,-1784.0,2,1923.0,91.0,69.0
17300,83.0,-1145.0,213.0,-1377.0,335.0,2,63.0,3,-1724.0,2,1820.0,28.0,72.0
17325,115.0,-833.0,274.0,-1116.0,274.0,3,61.0,3,-1451.0,2,1612.0,92.0,65.0
17324,101.0,-810.0,274.0,-1080.0,213.0,3,61.0,3,-1399.0,2,1543.0,86.0,64.0
17326,97.0,-774.0,213.0,-1010.0,274.0,3,61.0,3,-1335.0,2,1472.0,79.0,64.0
17321,84.0,-839.0,91.0,-1110.0,152.0,3,61.0,3,-1401.0,2,1491.0,71.0,63.0
17322,84.0,-839.0,91.0,-1110.0,152.0,3,61.0,3,-1401.0,2,1491.0,71.0,63.0
17323,84.0,-839.0,91.0,-1110.0,152.0,3,61.0,3,-1401.0,2,1491.0,71.0,63.0
