buckner_facies,buckner_thick,cottonvalley_alt,cottonvalley_thickness,h2s_class,hosston_alt,hosston_thickness,smackover_alt,smackover_facies,smackover_middepth,smackover_thick,smck_temp_int
0,47.0,-1264.0,217.0,10,-1019.0,225.0,-1414.0,1,1505.0,5.0,72.0
0,50.0,-1241.0,246.0,10,-1014.0,213.0,-1405.0,1,1494.0,6.0,72.0
0,53.0,-1221.0,271.0,10,-1007.0,213.0,-1400.0,2,1489.0,7.0,72.0
0,55.0,-1205.0,276.0,3,-997.0,213.0,-1397.0,2,1486.0,10.0,72.0
2,55.0,-1194.0,284.0,3,-988.0,213.0,-1405.0,2,1495.0,12.0,72.0
2,54.0,-1186.0,294.0,3,-980.0,213.0,-1425.0,2,1519.0,22.0,72.0
2,53.0,-1177.0,294.0,3,-972.0,213.0,-1448.0,2,1550.0,39.0,72.0
3,55.0,-1168.0,290.0,3,-965.0,213.0,-1470.0,2,1580.0,52.0,72.0
3,63.0,-1163.0,289.0,3,-960.0,213.0,-1490.0,2,1599.0,56.0,73.0
3,71.0,-1165.0,292.0,3,-960.0,213.0,-1508.0,2,1618.0,59.0,72.0
3,71.0,-1173.0,299.0,3,-963.0,213.0,-1521.0,2,1629.0,57.0,72.0
3,69.0,-1182.0,310.0,3,-969.0,213.0,-1530.0,2,1639.0,52.0,73.0
3,64.0,-1191.0,323.0,3,-975.0,213.0,-1539.0,2,1653.0,42.0,74.0
3,58.0,-1201.0,333.0,3,-981.0,213.0,-1549.0,2,1655.0,32.0,73.0
3,53.0,-1206.0,337.0,3,-984.0,213.0,-1562.0,2,1664.0,30.0,73.0
3,49.0,-1208.0,342.0,3,-986.0,213.0,-1567.0,2,1690.0,30.0,73.0
3,47.0,-1206.0,350.0,3,-984.0,213.0,-1566.0,2,1700.0,32.0,73.0
3,46.0,-1201.0,357.0,3,-978.0,213.0,-1561.0,2,1694.0,38.0,73.0
3,45.0,-1192.0,362.0,3,-968.0,213.0,-1552.0,2,1690.0,45.0,74.0
3,47.0,-1180.0,368.0,3,-955.0,213.0,-1536.0,2,1671.0,52.0,74.0
3,50.0,-1166.0,381.0,3,-940.0,213.0,-1516.0,2,1662.0,57.0,73.0
3,55.0,-1151.0,394.0,3,-928.0,215.0,-1506.0,2,1653.0,62.0,72.0
3,59.0,-1138.0,396.0,3,-923.0,226.0,-1506.0,2,1647.0,67.0,71.0
3,61.0,-1128.0,396.0,3,-924.0,247.0,-1515.0,2,1653.0,72.0,69.0
3,61.0,-1123.0,396.0,3,-928.0,265.0,-1532.0,2,1674.0,74.0,68.0
3,61.0,-1122.0,387.0,3,-930.0,271.0,-1546.0,2,1691.0,70.0,68.0
3,61.0,-1121.0,361.0,3,-928.0,273.0,-1536.0,2,1670.0,64.0,67.0
3,61.0,-1117.0,342.0,3,-927.0,273.0,-1522.0,2,1659.0,62.0,66.0
3,61.0,-1111.0,336.0,3,-932.0,270.0,-1513.0,2,1656.0,64.0,65.0
3,61.0,-1110.0,335.0,3,-938.0,256.0,-1510.0,2,1658.0,67.0,65.0
3,61.0,-1117.0,331.0,3,-942.0,225.0,-1507.0,2,1651.0,69.0,64.0
3,61.0,-1132.0,297.0,3,-943.0,213.0,-1489.0,2,1637.0,70.0,64.0
3,61.0,-1149.0,267.0,3,-937.0,194.0,-1456.0,2,1608.0,69.0,64.0
3,61.0,-1161.0,226.0,3,-923.0,156.0,-1432.0,2,1581.0,69.0,64.0
3,61.0,-1162.0,203.0,3,-904.0,150.0,-1430.0,2,1572.0,71.0,64.0
3,61.0,-1155.0,199.0,10,-884.0,137.0,-1435.0,2,1567.0,74.0,64.0
3,61.0,-1142.0,219.0,10,-868.0,144.0,-1448.0,2,1577.0,76.0,65.0
3,61.0,-1125.0,243.0,3,-857.0,158.0,-1458.0,2,1589.0,77.0,65.0
3,61.0,-1107.0,256.0,3,-845.0,198.0,-1449.0,2,1587.0,78.0,65.0
3,61.0,-1092.0,251.0,3,-828.0,220.0,-1424.0,2,1573.0,82.0,65.0
3,61.0,-1077.0,246.0,3,-809.0,250.0,-1401.0,2,1550.0,86.0,65.0
3,61.0,-1052.0,271.0,3,-789.0,263.0,-1388.0,2,1545.0,89.0,65.0
3,61.0,-1007.0,275.0,3,-767.0,245.0,-1373.0,2,1521.0,88.0,64.0
3,61.0,-950.0,297.0,3,-739.0,219.0,-1348.0,2,1484.0,85.0,64.0
3,61.0,-897.0,334.0,3,-704.0,213.0,-1315.0,2,1445.0,80.0,64.0
3,61.0,-859.0,335.0,3,-674.0,213.0,-1288.0,2,1408.0,74.0,63.0
3,61.0,-838.0,339.0,3,-656.0,213.0,-1264.0,2,1373.0,67.0,63.0
3,61.0,-837.0,345.0,3,-648.0,213.0,-1241.0,2,1340.0,60.0,63.0
3,61.0,-852.0,343.0,3,-648.0,213.0,-1220.0,2,1312.0,54.0,62.0
3,61.0,-877.0,337.0,3,-652.0,213.0,-1216.0,2,1300.0,50.0,62.0
3,61.0,-898.0,335.0,3,-658.0,213.0,-1217.0,2,1300.0,47.0,62.0
3,61.0,-905.0,335.0,3,-664.0,212.0,-1217.0,2,1297.0,46.0,61.0
3,61.0,-902.0,332.0,3,-669.0,200.0,-1213.0,2,1294.0,47.0,61.0
3,61.0,-892.0,323.0,3,-674.0,172.0,-1205.0,2,1290.0,50.0,61.0
3,61.0,-877.0,311.0,3,-678.0,153.0,-1190.0,2,1271.0,50.0,59.0
3,60.0,-862.0,298.0,3,-683.0,133.0,-1176.0,2,1248.0,48.0,58.0
3,53.0,-849.0,288.0,3,-689.0,98.0,-1163.0,2,1229.0,42.0,57.0
3,40.0,-842.0,281.0,3,-698.0,91.0,-1147.0,2,1208.0,35.0,56.0
3,28.0,-841.0,280.0,3,-708.0,91.0,-1123.0,2,1178.0,25.0,56.0
2,22.0,-846.0,285.0,3,-719.0,91.0,-1098.0,2,1145.0,12.0,55.0
2,18.0,-855.0,310.0,3,-730.0,95.0,-1096.0,1,1138.0,3.0,54.0
2,12.0,-867.0,334.0,10,-739.0,135.0,-1102.0,1,1146.0,1.0,54.0
2,8.0,-879.0,343.0,10,-746.0,152.0,-1117.0,1,1165.0,1.0,55.0
2,5.0,-890.0,388.0,10,-752.0,147.0,-1119.0,0,1173.0,2.0,55.0
0,3.0,-900.0,396.0,10,-757.0,120.0,-1117.0,0,1173.0,4.0,55.0
0,2.0,-909.0,394.0,10,-761.0,95.0,-1115.0,0,1173.0,8.0,55.0
0,2.0,-915.0,368.0,10,-764.0,91.0,-1120.0,0,1183.0,16.0,55.0
0,3.0,-918.0,338.0,10,-771.0,83.0,-1138.0,0,1206.0,27.0,55.0
0,4.0,-920.0,335.0,10,-783.0,42.0,-1158.0,1,1234.0,39.0,55.0
0,5.0,-922.0,333.0,10,-800.0,30.0,-1176.0,1,1253.0,51.0,57.0
0,6.0,-923.0,313.0,3,-820.0,30.0,-1182.0,1,1267.0,61.0,58.0
0,5.0,-924.0,286.0,3,-841.0,30.0,-1174.0,1,1267.0,63.0,59.0
0,2.0,-925.0,276.0,3,-863.0,30.0,-1162.0,1,1255.0,56.0,59.0
0,-3.0,-925.0,274.0,10,-884.0,30.0,-1145.0,1,1238.0,45.0,59.0
0,-9.0,-925.0,270.0,10,-902.0,30.0,-1115.0,1,1206.0,35.0,61.0
0,-14.0,-925.0,258.0,10,-914.0,30.0,-1081.0,1,1164.0,25.0,62.0
0,-17.0,-924.0,242.0,3,-925.0,30.0,-1067.0,1,1142.0,13.0,64.0
0,-19.0,-924.0,226.0,3,-938.0,30.0,-1067.0,0,1130.0,6.0,65.0
0,-20.0,-925.0,209.0,3,-952.0,30.0,-1067.0,0,1119.0,2.0,66.0
0,-20.0,-927.0,185.0,3,-967.0,31.0,-1067.0,0,1124.0,1.0,67.0
0,-19.0,-930.0,155.0,3,-983.0,65.0,-1067.0,0,1135.0,0.0,66.0
0,-18.0,-934.0,118.0,3,-1001.0,91.0,-1067.0,0,1141.0,1.0,66.0
0,-16.0,-939.0,82.0,3,-1019.0,94.0,-1067.0,1,1130.0,3.0,67.0
0,-14.0,-946.0,44.0,3,-1037.0,132.0,-1067.0,1,1127.0,6.0,66.0
0,-11.0,-954.0,31.0,3,-1053.0,152.0,-1067.0,1,1141.0,11.0,64.0
0,-7.0,-964.0,30.0,3,-1066.0,167.0,-1067.0,1,1139.0,17.0,62.0
0,-4.0,-976.0,30.0,3,-1078.0,202.0,-1067.0,1,1143.0,23.0,64.0
0,-0.0,-989.0,30.0,3,-1093.0,213.0,-1067.0,1,1146.0,27.0,64.0
0,3.0,-1003.0,30.0,3,-1109.0,220.0,-1067.0,1,1148.0,28.0,64.0
2,54.0,-1320.0,236.0,10,-1067.0,264.0,-1555.0,2,1642.0,8.0,73.0
2,56.0,-1304.0,259.0,10,-1063.0,219.0,-1553.0,2,1641.0,10.0,72.0
0,58.0,-1287.0,273.0,10,-1058.0,213.0,-1551.0,1,1640.0,14.0,72.0
2,60.0,-1271.0,281.0,3,-1051.0,213.0,-1549.0,2,1639.0,17.0,72.0
2,61.0,-1260.0,307.0,3,-1043.0,213.0,-1543.0,2,1634.0,23.0,72.0
2,62.0,-1256.0,329.0,3,-1036.0,213.0,-1546.0,2,1639.0,27.0,72.0
2,65.0,-1254.0,334.0,3,-1030.0,213.0,-1565.0,2,1660.0,31.0,72.0
3,67.0,-1254.0,334.0,3,-1027.0,213.0,-1582.0,2,1681.0,40.0,72.0
3,71.0,-1252.0,333.0,3,-1023.0,213.0,-1595.0,2,1698.0,48.0,72.0
3,75.0,-1248.0,333.0,3,-1021.0,213.0,-1607.0,2,1709.0,46.0,73.0
3,78.0,-1247.0,333.0,3,-1021.0,213.0,-1618.0,2,1717.0,42.0,72.0
3,80.0,-1248.0,336.0,3,-1026.0,213.0,-1627.0,2,1721.0,36.0,72.0
3,80.0,-1253.0,341.0,3,-1029.0,213.0,-1636.0,2,1729.0,32.0,73.0
3,78.0,-1257.0,350.0,3,-1032.0,213.0,-1644.0,2,1744.0,31.0,74.0
3,74.0,-1262.0,362.0,3,-1034.0,213.0,-1651.0,2,1753.0,31.0,73.0
3,70.0,-1266.0,376.0,3,-1036.0,213.0,-1659.0,2,1760.0,30.0,73.0
3,67.0,-1266.0,387.0,3,-1035.0,213.0,-1663.0,2,1783.0,31.0,73.0
3,65.0,-1261.0,393.0,3,-1032.0,213.0,-1664.0,2,1790.0,35.0,73.0
3,65.0,-1255.0,395.0,3,-1026.0,213.0,-1658.0,2,1783.0,43.0,73.0
3,63.0,-1247.0,396.0,3,-1016.0,213.0,-1648.0,2,1776.0,51.0,74.0
3,61.0,-1237.0,396.0,3,-1002.0,218.0,-1634.0,2,1766.0,58.0,73.0
3,60.0,-1223.0,396.0,3,-987.0,234.0,-1616.0,2,1762.0,65.0,73.0
3,60.0,-1208.0,396.0,3,-975.0,254.0,-1603.0,2,1754.0,71.0,72.0
3,61.0,-1194.0,396.0,3,-969.0,269.0,-1598.0,2,1748.0,77.0,71.0
3,61.0,-1185.0,396.0,3,-965.0,274.0,-1606.0,2,1751.0,83.0,68.0
3,61.0,-1179.0,396.0,3,-964.0,274.0,-1633.0,2,1776.0,86.0,68.0
3,61.0,-1178.0,396.0,3,-965.0,274.0,-1649.0,2,1788.0,81.0,69.0
3,61.0,-1176.0,395.0,3,-965.0,274.0,-1629.0,2,1762.0,73.0,67.0
3,61.0,-1172.0,383.0,3,-965.0,274.0,-1611.0,2,1749.0,69.0,66.0
3,61.0,-1163.0,347.0,3,-968.0,274.0,-1601.0,2,1751.0,71.0,66.0
3,61.0,-1156.0,335.0,3,-970.0,274.0,-1597.0,2,1746.0,74.0,65.0
3,61.0,-1158.0,335.0,3,-970.0,262.0,-1586.0,2,1729.0,76.0,65.0
3,61.0,-1171.0,319.0,3,-966.0,225.0,-1560.0,2,1711.0,77.0,64.0
3,62.0,-1189.0,276.0,3,-957.0,212.0,-1516.0,2,1665.0,75.0,64.0
3,62.0,-1200.0,262.0,3,-942.0,183.0,-1490.0,2,1641.0,74.0,64.0
3,62.0,-1197.0,240.0,10,-921.0,155.0,-1489.0,2,1639.0,75.0,65.0
3,62.0,-1185.0,248.0,10,-904.0,152.0,-1500.0,2,1641.0,77.0,66.0
3,62.0,-1172.0,273.0,10,-889.0,158.0,-1517.0,2,1655.0,81.0,66.0
3,62.0,-1158.0,298.0,10,-878.0,189.0,-1532.0,2,1671.0,83.0,66.0
3,62.0,-1145.0,303.0,10,-865.0,216.0,-1525.0,2,1667.0,85.0,66.0
3,61.0,-1132.0,288.0,10,-851.0,252.0,-1504.0,2,1653.0,89.0,66.0
3,61.0,-1120.0,276.0,3,-836.0,274.0,-1472.0,2,1627.0,94.0,66.0
3,61.0,-1100.0,274.0,3,-820.0,274.0,-1448.0,2,1600.0,97.0,66.0
3,61.0,-1063.0,276.0,3,-802.0,273.0,-1424.0,2,1571.0,96.0,65.0
3,61.0,-1005.0,307.0,3,-777.0,254.0,-1398.0,2,1534.0,93.0,66.0
3,61.0,-942.0,335.0,3,-743.0,222.0,-1373.0,2,1505.0,88.0,65.0
3,61.0,-895.0,346.0,3,-709.0,213.0,-1352.0,2,1475.0,83.0,64.0
3,61.0,-873.0,378.0,3,-686.0,213.0,-1335.0,2,1447.0,77.0,63.0
3,61.0,-878.0,390.0,3,-674.0,216.0,-1316.0,2,1416.0,71.0,63.0
3,61.0,-908.0,389.0,3,-671.0,231.0,-1299.0,2,1396.0,66.0,63.0
3,61.0,-949.0,375.0,3,-674.0,242.0,-1295.0,2,1392.0,63.0,63.0
3,61.0,-980.0,351.0,3,-679.0,241.0,-1294.0,2,1390.0,60.0,63.0
3,61.0,-989.0,338.0,3,-686.0,231.0,-1292.0,2,1385.0,59.0,62.0
3,61.0,-979.0,337.0,3,-692.0,219.0,-1289.0,2,1385.0,59.0,62.0
3,61.0,-956.0,340.0,3,-695.0,209.0,-1285.0,2,1388.0,61.0,62.0
3,61.0,-927.0,343.0,3,-697.0,182.0,-1276.0,2,1369.0,61.0,60.0
3,61.0,-900.0,343.0,3,-700.0,155.0,-1262.0,2,1347.0,58.0,59.0
3,57.0,-878.0,338.0,3,-704.0,135.0,-1244.0,2,1315.0,52.0,58.0
3,47.0,-863.0,332.0,3,-712.0,104.0,-1224.0,2,1288.0,46.0,56.0
3,39.0,-858.0,329.0,3,-723.0,93.0,-1197.0,2,1259.0,39.0,56.0
3,35.0,-861.0,330.0,3,-734.0,91.0,-1175.0,2,1228.0,29.0,55.0
2,32.0,-869.0,335.0,3,-745.0,93.0,-1172.0,2,1221.0,19.0,55.0
2,27.0,-880.0,338.0,3,-753.0,119.0,-1176.0,2,1224.0,13.0,54.0
2,22.0,-890.0,363.0,10,-757.0,144.0,-1183.0,1,1235.0,12.0,54.0
2,18.0,-898.0,395.0,10,-760.0,109.0,-1185.0,1,1242.0,16.0,55.0
2,16.0,-905.0,396.0,10,-763.0,93.0,-1182.0,1,1242.0,24.0,54.0
2,16.0,-911.0,396.0,10,-766.0,91.0,-1180.0,1,1245.0,35.0,55.0
2,17.0,-916.0,394.0,10,-772.0,89.0,-1179.0,1,1251.0,46.0,55.0
0,18.0,-919.0,359.0,10,-781.0,55.0,-1185.0,1,1263.0,58.0,56.0
0,20.0,-922.0,336.0,10,-795.0,31.0,-1205.0,1,1290.0,71.0,57.0
0,21.0,-924.0,335.0,10,-811.0,30.0,-1221.0,1,1312.0,83.0,58.0
0,22.0,-925.0,335.0,3,-831.0,30.0,-1220.0,1,1317.0,87.0,59.0
0,21.0,-926.0,329.0,3,-851.0,30.0,-1219.0,1,1320.0,88.0,59.0
0,17.0,-926.0,314.0,10,-871.0,30.0,-1218.0,1,1317.0,79.0,59.0
0,8.0,-926.0,298.0,10,-891.0,30.0,-1208.0,1,1308.0,66.0,60.0
0,-2.0,-925.0,287.0,10,-907.0,30.0,-1170.0,1,1265.0,55.0,62.0
0,-10.0,-924.0,282.0,10,-917.0,30.0,-1117.0,1,1208.0,44.0,63.0
0,-14.0,-922.0,277.0,3,-927.0,30.0,-1076.0,1,1161.0,33.0,65.0
0,-17.0,-922.0,270.0,3,-939.0,30.0,-1067.0,1,1140.0,24.0,66.0
0,-18.0,-921.0,257.0,10,-952.0,30.0,-1067.0,1,1124.0,15.0,67.0
0,-18.0,-922.0,234.0,3,-966.0,36.0,-1067.0,1,1129.0,10.0,66.0
0,-18.0,-925.0,205.0,3,-981.0,80.0,-1067.0,1,1143.0,8.0,66.0
0,-17.0,-928.0,167.0,3,-997.0,91.0,-1067.0,1,1143.0,9.0,67.0
0,-15.0,-932.0,124.0,3,-1015.0,109.0,-1067.0,1,1138.0,13.0,66.0
0,-12.0,-938.0,84.0,3,-1032.0,149.0,-1067.0,1,1129.0,17.0,63.0
0,-8.0,-946.0,48.0,3,-1049.0,161.0,-1067.0,1,1139.0,22.0,62.0
0,-4.0,-956.0,32.0,3,-1063.0,201.0,-1067.0,1,1142.0,28.0,64.0
0,-1.0,-969.0,30.0,3,-1073.0,215.0,-1067.0,1,1146.0,33.0,64.0
0,3.0,-984.0,30.0,3,-1087.0,236.0,-1067.0,1,1155.0,38.0,64.0
0,8.0,-999.0,30.0,3,-1102.0,263.0,-1067.0,1,1157.0,39.0,64.0
2,60.0,-1358.0,273.0,10,-1109.0,268.0,-1642.0,2,1731.0,12.0,73.0
2,62.0,-1347.0,276.0,10,-1105.0,227.0,-1640.0,2,1730.0,15.0,73.0
2,62.0,-1335.0,292.0,10,-1101.0,214.0,-1641.0,2,1733.0,20.0,72.0
2,62.0,-1324.0,322.0,3,-1095.0,213.0,-1642.0,2,1736.0,24.0,72.0
2,61.0,-1318.0,335.0,3,-1088.0,213.0,-1642.0,2,1739.0,29.0,73.0
2,62.0,-1319.0,335.0,3,-1083.0,213.0,-1649.0,2,1745.0,30.0,73.0
3,65.0,-1327.0,335.0,3,-1081.0,218.0,-1665.0,2,1759.0,31.0,73.0
3,68.0,-1332.0,335.0,3,-1080.0,233.0,-1677.0,2,1771.0,31.0,73.0
3,71.0,-1333.0,335.0,3,-1080.0,245.0,-1690.0,2,1782.0,31.0,73.0
3,75.0,-1328.0,336.0,3,-1081.0,244.0,-1701.0,2,1793.0,31.0,73.0
3,78.0,-1324.0,347.0,3,-1082.0,233.0,-1711.0,2,1804.0,31.0,73.0
3,81.0,-1323.0,368.0,3,-1083.0,222.0,-1720.0,2,1812.0,30.0,72.0
3,83.0,-1324.0,385.0,3,-1085.0,216.0,-1727.0,2,1816.0,30.0,73.0
3,83.0,-1323.0,393.0,3,-1085.0,216.0,-1733.0,2,1824.0,30.0,73.0
3,81.0,-1323.0,396.0,3,-1084.0,217.0,-1738.0,2,1832.0,30.0,73.0
3,79.0,-1325.0,396.0,3,-1082.0,217.0,-1741.0,2,1844.0,30.0,73.0
3,76.0,-1323.0,396.0,3,-1080.0,217.0,-1743.0,2,1866.0,32.0,73.0
