item_key,title,date,doi,item_type,collections,source
3LTXWQGN,Novel ionic liquid as co-extractant for selective extraction of lithium ions from salt lake brines with high Mg/Li ratio,2021,10.1016/j.seppur.2021.119471,journalArticle,Q9K6AUUN;SAVYNVAK;DI6WN52Q;J9VJRWEV;WSI3RELX,zotero_local_api_lithium_recovery_recursive
CYBU6TZT,Solvent extraction of lithium from simulated shale gas produced water with a bifunctional ionic liquid,2020-12-01,10.1016/j.apgeochem.2020.104783,journalArticle,MHCU6RCL;J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
EQG5BQQV,Solvent extraction of lithium from aqueous solution using an ammonium ionic liquid,2020,10.1016/j.molliq.2020.112756,journalArticle,Q9K6AUUN;SAVYNVAK;DI6WN52Q;J9VJRWEV;WSI3RELX,zotero_local_api_lithium_recovery_recursive
9S4BP2MI,Potential water recovery during lithium mining from high salinity brines,2020,10.1016/j.scitotenv.2020.137523,journalArticle,SAVYNVAK;MHCU6RCL;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
W3ELF9TE,Lithium recovery by solvent extraction from simulated shale gas produced water – Impact of organic compounds,2020,10.1016/j.apgeochem.2020.104571,journalArticle,Q9K6AUUN;SAVYNVAK;DI6WN52Q;LYN9RATQ;WSI3RELX,zotero_local_api_lithium_recovery_recursive
5DXFW24T,Recovery of Lithium Ions from Salt Lake Brine with a High Magnesium/Lithium Ratio Using Heteropolyacid Ionic Liquid,2019-02-04,10.1021/acssuschemeng.8b04694,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
JEDCL92N,Role of ionic liquids in the efficient transfer of lithium by Cyanex 923 in solvent extraction system,2019,10.1002/aic.16606,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
E92CSFXM,Lithium Recovery from Oil and Gas Produced Water: A Need for a Growing Energy Industry,2019,10.1021/acsenergylett.9b00779,journalArticle,SAVYNVAK;ZT7CGW39;MHCU6RCL;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
4YMGMSVV,Liquid-liquid extraction of lithium from aqueous solution using novel ionic liquid extractants via COSMO-RS and experiments,2018-03-15,10.1016/J.FLUID.2017.11.038,journalArticle,DI6WN52Q;J9VJRWEV;Q9K6AUUN,zotero_local_api_lithium_recovery_recursive
AEL6ZEPG,Recovery of lithium from alkaline brine by solvent extraction with β-diketone,2018-01-01,10.1016/j.hydromet.2017.10.029,journalArticle,SAVYNVAK;DI6WN52Q;Q9K6AUUN;LYN9RATQ;WSI3RELX,zotero_local_api_lithium_recovery_recursive
TACE6GAI,Lithium extraction from oilfield brine,2018,,journalArticle,SAVYNVAK;ZT7CGW39;MHCU6RCL;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
9LJWDC7E,Selective extraction of lithium from alkaline brine using HBTA-TOPO synergistic extraction system,2017-11-29,10.1016/j.seppur.2017.07.028,journalArticle,LYN9RATQ,zotero_local_api_lithium_recovery_recursive
BLUVRJ9Q,Lithium recovery from shale gas produced water using solvent extraction,2017-03-01,10.1016/J.APGEOCHEM.2017.01.016,journalArticle,DI6WN52Q;MHCU6RCL;Q9K6AUUN;LYN9RATQ,zotero_local_api_lithium_recovery_recursive
QUP6XZ5L,Solvent extraction of lithium from aqueous solution using non-fluorinated functionalized ionic liquids as extraction agents,2017-01-01,10.1016/j.seppur.2016.08.034,journalArticle,SAVYNVAK;J9VJRWEV;Q9K6AUUN;DI6WN52Q;WSI3RELX,zotero_local_api_lithium_recovery_recursive
JMNSPEBJ,A highly efficient solvent system containing ionic liquid in tributyl phosphate for lithium ion extraction,2014,10.1016/j.molliq.2014.10.004,journalArticle,Q9K6AUUN;SAVYNVAK;J9VJRWEV;DI6WN52Q;WSI3RELX,zotero_local_api_lithium_recovery_recursive
